,drainage_class,gus,tgus,detlimit,offset,detected
349,2,2.47,5.3,0.025,1.0,1.0
350,2,2.47,5.3,0.025,1.0,-1.0
351,2,2.47,5.3,0.025,1.0,-1.0
352,2,2.47,5.3,0.025,1.0,-1.0
353,1,1.58,2.3,0.01,1.0,1.0
354,1,1.58,2.3,0.01,1.0,-1.0
355,1,1.58,2.3,0.01,1.0,-1.0
356,1,1.58,2.3,0.01,1.0,-1.0
357,1,1.58,2.3,0.01,1.0,-1.0
358,1,1.58,2.3,0.01,1.0,-1.0
359,1,1.58,2.3,0.01,1.0,-1.0
360,1,1.58,2.3,0.01,1.0,-1.0
361,1,2.2,4.2,0.01,1.0,1.0
362,1,2.2,4.4,0.01,1.0,1.0
363,1,2.2,4.4,0.01,1.0,-1.0
364,1,2.2,4.4,0.01,1.0,-1.0
365,1,2.2,4.4,0.01,1.0,-1.0
366,1,2.2,4.4,0.01,1.0,1.0
367,1,2.2,4.4,0.01,1.0,-1.0
368,1,2.2,4.4,0.01,1.0,1.0
369,1,2.2,4.4,0.01,1.0,1.0
370,4,6.16,32.7,0.25,1.0,-1.0
371,4,6.16,32.7,0.25,1.0,-1.0
372,4,6.16,32.7,0.25,1.0,-1.0
373,4,6.16,32.7,0.25,1.0,-1.0
374,4,6.16,32.7,0.25,1.0,-1.0
375,4,6.16,32.7,0.25,1.0,-1.0
376,4,6.16,32.7,0.25,1.0,-1.0
377,4,6.16,32.7,0.25,1.0,-1.0
378,1,6.16,39.3,0.25,1.0,-1.0
379,1,6.16,39.3,0.25,1.0,-1.0
380,1,6.16,39.3,0.25,1.0,-1.0
381,1,6.16,39.3,0.25,1.0,-1.0
382,1,3.58,2.5,0.025,1.0,1.0
383,1,1.59,1.2,0.025,1.0,-1.0
384,1,1.59,1.2,0.025,1.0,-1.0
385,1,1.59,1.2,0.025,1.0,-1.0
386,1,1.59,1.2,0.025,1.0,-1.0
387,1,1.59,1.2,0.025,1.0,-1.0
388,1,1.59,1.2,0.025,1.0,-1.0
389,1,1.59,1.2,0.025,1.0,-1.0
390,1,1.59,1.2,0.025,1.0,-1.0
